YAL001C,1
YAL003W,2
YAL005C,3
YAL012W,4
YAL014C,5
YAL015C,6
YAL016W,7
YAL017W,8
YAL021C,9
YAL022C,10
YAL023C,11
YAL024C,12
YAL026C,13
YAL029C,14
YAL030W,15
YAL032C,16
YAL033W,17
YAL035W,18
YAL038W,19
YAL039C,20
YAL040C,21
YAL041W,22
YAL043C,23
YAL047C,24
YAL051W,25
YAL054C,26
YAL056W,27
YAL060W,28
YAL062W,29
YAL067C,30
YAR002W,31
YAR003W,32
YAR007C,33
YAR008W,34
YAR018C,35
YAR019C,36
YAR033W,37
YAR035W,38
YBL002W,39
YBL003C,40
YBL004W,41
YBL005W,42
YBL007C,43
YBL008W,44
YBL009W,45
YBL011W,46
YBL013W,47
YBL014C,48
YBL015W,49
YBL016W,50
YBL018C,51
YBL019W,52
YBL020W,53
YBL021C,54
YBL022C,55
YBL023C,56
YBL024W,57
YBL025W,58
YBL026W,59
YBL027W,60
YBL030C,61
YBL032W,62
YBL033C,63
YBL034C,64
YBL035C,65
YBL036C,66
YBL038W,67
YBL039C,68
YBL041W,69
YBL042C,70
YBL045C,71
YBL050W,72
YBL052C,73
YBL056W,74
YBL057C,75
YBL061C,76
YBL063W,77
YBL064C,78
YBL068W,79
YBL072C,80
YBL075C,81
YBL076C,82
YBL078C,83
YBL079W,84
YBL082C,85
YBL084C,86
YBL087C,87
YBL088C,88
YBL089W,89
YBL090W,90
YBL091C,91
YBL092W,92
YBL093C,93
YBL098W,94
YBL099W,95
YBL103C,96
YBL105C,97
YBR001C,98
YBR002C,99
YBR003W,100
YBR006W,101
YBR009C,102
YBR010W,103
YBR015C,104
YBR018C,105
YBR019C,106
YBR020W,107
YBR021W,108
YBR023C,109
YBR026C,110
YBR029C,111
YBR031W,112
YBR034C,113
YBR035C,114
YBR036C,115
YBR038W,116
YBR039W,117
YBR041W,118
YBR042C,119
YBR045C,120
YBR048W,121
YBR049C,122
YBR050C,123
YBR055C,124
YBR058C,125
YBR059C,126
YBR060C,127
YBR061C,128
YBR066C,129
YBR067C,130
YBR068C,131
YBR069C,132
YBR072W,133
YBR073W,134
YBR079C,135
YBR080C,136
YBR081C,137
YBR083W,138
YBR084C-A,139
YBR084W,140
YBR085W,141
YBR087W,142
YBR088C,143
YBR091C,144
YBR092C,145
YBR093C,146
YBR097W,147
YBR098W,148
YBR103W,149
YBR104W,150
YBR106W,151
YBR110W,152
YBR112C,153
YBR114W,154
YBR115C,155
YBR117C,156
YBR118W,157
YBR119W,158
YBR121C,159
YBR122C,160
YBR123C,161
YBR126C,162
YBR127C,163
YBR130C,164
YBR131W,165
YBR132C,166
YBR133C,167
YBR135W,168
YBR136W,169
YBR140C,170
YBR142W,171
YBR143C,172
YBR146W,173
YBR149W,174
YBR153W,175
YBR154C,176
YBR156C,177
YBR158W,178
YBR159W,179
YBR160W,180
YBR161W,181
YBR164C,182
YBR166C,183
YBR167C,184
YBR171W,185
YBR173C,186
YBR175W,187
YBR176W,188
YBR177C,189
YBR179C,190
YBR180W,191
YBR181C,192
YBR182C,193
YBR183W,194
YBR188C,195
YBR189W,196
YBR191W,197
YBR192W,198
YBR193C,199
YBR196C,200
YBR198C,201
YBR199W,202
YBR200W,203
YBR202W,204
